x,y,z,theta,omega,Distance
14.258,4.088,424.741,0.035,0.279,115.99996724999536
3.791,1.087,112.931,0.035,0.279,120.99951549489775
-15.475,3.858,456.722,0.035,0.244,111.99991653568318
3.894,0.971,114.93,0.035,0.244,119.00009691172524
15.327,3.258,448.726,0.035,0.209,116.9995965377659
-4.096,0.871,119.927,0.035,0.209,116.99963878149367
15.294,2.697,444.729,0.035,0.175,119.00014106714328
-3.952,0.697,114.93,0.035,0.175,115.0001558738074
-15.759,2.215,455.722,0.035,0.14,119.99988692078004
4.32,0.607,124.924,0.035,0.14,122.00025227023099
-15.934,1.956,459.72,0.035,0.122,116.99963819174828
-4.365,0.536,125.923,0.035,0.122,120.9995820529972
15.784,1.381,453.723,0.035,0.087,123.00002736178557
-4.485,0.392,128.921,0.035,0.087,125.00043152325516
15.683,0.822,449.726,0.035,0.052,126.00016203561009
4.461,0.234,127.922,0.035,0.052,127.99967084723305
-15.633,0.273,447.727,0.035,0.017,130.00009033073786
4.466,0.078,127.922,0.035,0.017,130.99984634342132
-31.042,0.0,443.916,0.07,0.0,138.9997274997329
9.208,0.0,131.678,0.07,0.0,138.00002874637383
31.246,0.545,446.909,0.07,0.017,144.00044345417828
-31.062,2.718,445.911,0.07,0.087,144.00041975633266
8.825,0.772,126.691,0.07,0.087,149.00005209730634
-31.226,3.834,449.901,0.07,0.122,153.99968476266437
-8.585,1.054,123.698,0.07,0.122,150.9994929825925
31.417,4.976,454.889,0.07,0.157,159.0004054428793
-8.406,1.331,121.703,0.07,0.157,161.99958098093958
-31.6,5.572,458.879,0.07,0.175,167.00031429311744
8.038,1.417,116.715,0.07,0.175,176.99954027623912
-31.387,6.671,458.879,0.07,0.209,179.00006958099206
8.12,1.726,118.71,0.07,0.209,181.0005260931581
30.661,7.645,451.897,0.07,0.244,185.0004480967546
-8.122,2.025,119.708,0.07,0.244,189.00039076679178
30.644,8.787,455.887,0.07,0.279,205.99978003386315
8.181,2.346,121.703,0.07,0.279,129.00047622780315
-30.849,10.024,463.867,0.07,0.314,130.00009290381297
7.696,2.5,115.717,0.07,0.314,126.00020576967324
-29.35,10.106,443.916,0.07,0.332,127.9996492534257
-7.849,2.703,118.71,0.07,0.332,126.00024750769342
28.915,11.099,442.918,0.07,0.367,268.99990884199195
-7.619,2.925,116.715,0.07,0.367,297.00041069500224
-20.74,8.804,322.213,0.07,0.401,313.99982288689273
7.384,3.134,114.72,0.07,0.401,129.00038499942548
-18.397,8.579,290.291,0.07,0.436,193.99992992009044
7.334,3.42,115.717,0.07,0.436,191.99950277539784
16.677,8.134,265.352,0.07,0.454,191.99958760632794
-7.461,3.639,118.71,0.07,0.454,130.99984161059126
16.199,8.613,262.359,0.07,0.489,130.9998487212867
7.329,3.897,118.71,0.07,0.489,178.99998825977616
-14.861,8.58,245.401,0.07,0.524,108.99977222911981
7.068,4.081,116.715,0.07,0.524,112.99973311915387
-6.921,4.325,116.715,0.07,0.559,168.00004377082763
-6.651,4.486,114.72,0.07,0.593,149.99982041655917
12.457,8.722,217.469,0.07,0.611,123.99983479424479
6.857,4.801,119.708,0.07,0.611,146.999583628662
-11.978,9.026,214.476,0.07,0.646,155.00035989635637
-6.685,5.038,119.708,0.07,0.646,161.9994865948655
11.167,9.043,205.498,0.07,0.681,93.99987175523167
-6.668,5.4,122.7,0.07,0.681,90.99960118593927
6.475,5.629,122.7,0.07,0.716,85.00020346446237
-9.54,8.896,186.544,0.07,0.75,96.99997371649128
6.428,5.994,125.693,0.07,0.75,182.99998056284048
-9.082,8.771,180.559,0.07,0.768,193.00024800243133
-6.272,6.057,124.696,0.07,0.768,185.00048383990782
8.625,8.932,177.566,0.07,0.803,186.9998121202265
-6.202,6.423,127.688,0.07,0.803,182.0002175905293
6.115,6.791,130.681,0.07,0.838,181.00050235013163
-5.964,7.107,132.676,0.07,0.873,174.00043643048713
6.786,8.685,157.615,0.07,0.908,171.99991683137523
-5.97,7.641,138.661,0.07,0.908,163.00029437396728
5.835,7.744,138.661,0.07,0.925,156.9999434681427
-6.242,8.914,155.62,0.07,0.96,145.9998167224877
5.722,8.171,142.652,0.07,0.96,153.99966562950715
-5.509,8.483,144.647,0.07,0.995,149.000022651005
-5.353,8.909,148.637,0.07,1.03,148.00029209768473
5.174,9.335,152.627,0.07,1.065,145.99985631157313
-4.847,9.116,147.639,0.07,1.082,148.00030708751925
4.312,8.84,140.657,0.07,1.117,145.0001851791921
-4.801,9.843,156.618,0.07,1.117,142.99962873028727
-4.127,11.34,172.579,0.07,1.222,0.0
-2.651,8.672,129.683,0.07,1.274,143.99962975299627
3.712,12.141,181.557,0.07,1.274,148.99968211039914
-2.275,8.49,125.693,0.07,1.309,144.99993334136397
-3.304,12.33,182.554,0.07,1.309,147.00017520057588
-2.997,12.982,190.535,0.07,1.344,153.00048457439604
2.689,13.832,201.508,0.07,1.379,149.99992157997949
2.324,14.675,212.481,0.07,1.414,154.9998185869906
1.641,15.609,224.452,0.07,1.466,153.00038651585163
1.139,16.283,233.43,0.07,1.501,150.9999376191924
-0.589,16.871,241.411,0.07,1.536,153.99958016176538
-0.0,18.695,267.347,0.07,1.571,153.00047096986336
-1.084,20.689,296.277,0.07,1.623,158.00041449312718
2.423,8.449,125.693,0.07,1.85,157.00025757303712
-3.615,12.606,187.542,0.07,1.85,167.00007921555007
3.125,8.14,124.696,0.07,1.937,172.00010593892085
-2.575,6.708,102.749,0.07,1.937,0.0
-4.604,7.974,131.678,0.07,2.094,0.0
3.279,5.679,93.771,0.07,2.094,0.0
5.175,8.282,139.659,0.07,2.129,193.0000921295117
6.234,7.698,141.654,0.07,2.251,194.00028118794054
-4.346,5.367,98.759,0.07,2.251,196.99990258627034
6.865,7.897,149.635,0.07,2.286,193.00001377461092
-7.469,8.01,156.618,0.07,2.321,190.99976637943828
-7.892,7.892,159.61,0.07,2.356,92.99987517195923
8.731,8.432,173.576,0.07,2.374,96.99962645804364
-8.605,7.748,165.596,0.07,2.409,163.0004126375145
-9.458,7.936,176.569,0.07,2.443,158.0003241768826
-3.367,2.825,62.847,0.07,2.443,151.00002753973257
10.169,7.945,184.549,0.07,2.478,181.99989532414574
-3.353,2.62,60.851,0.07,2.478,182.00003449175497
10.553,7.667,186.544,0.07,2.513,173.00017202592605
-5.474,3.977,96.764,0.07,2.513,138.99971479826857
-10.571,7.402,184.549,0.07,2.531,139.99985099277785
5.428,3.801,94.769,0.07,2.531,141.0000757730293
10.647,6.915,181.557,0.07,2.566,131.00017317927484
0.0,0.0,0.0,0.07,2.566,132.9995803414432
10.464,6.287,174.574,0.07,2.601,132.99954639396333
-0.0,0.0,0.0,0.07,2.601,194.00035385019277
10.921,6.054,178.564,0.07,2.635,195.99968320382558
0.0,0.0,0.0,0.07,2.635,320.99970962447924
-10.317,5.257,165.596,0.07,2.67,283.0003608089573
0.0,0.0,0.0,0.07,2.67,277.00024706126163
-10.22,4.984,162.603,0.07,2.688,260.0000331807671
0.0,0.0,0.0,0.07,2.688,238.9999409414153
10.26,4.568,160.608,0.07,2.723,228.9999588602583
-0.0,0.0,0.0,0.07,2.723,217.9999925802751
9.896,3.998,152.627,0.07,2.758,213.00003192957507
-0.0,0.0,0.0,0.07,2.758,200.0004409945138
9.701,3.531,147.639,0.07,2.793,193.0001844403264
0.0,0.0,0.0,0.07,2.793,188.0001041728435
-9.686,3.147,145.644,0.07,2.827,130.00004124999347
0.0,0.0,0.0,0.07,2.827,128.99976036024253
-9.206,2.814,137.664,0.07,2.845,128.99981815878658
0.0,0.0,0.0,0.07,2.845,128.99977460833023
9.298,2.491,137.664,0.07,2.88,132.99950919458314
-0.0,0.0,0.0,0.07,2.88,137.00030958359181
9.244,2.134,135.669,0.07,2.915,133.9997488505109
-0.0,0.0,0.0,0.07,2.915,142.00031129895453
9.45,1.837,137.664,0.07,2.95,138.99976859333256
0.0,0.0,0.0,0.07,2.95,146.00003852396753
-9.163,1.451,132.676,0.07,2.985,147.00027265961108
0.0,0.0,0.0,0.07,2.985,149.99988336662133
-9.187,1.291,132.676,0.07,3.002,154.99983627410708
0.0,0.0,0.0,0.07,3.002,158.99952235462848
9.504,0.999,136.666,0.07,3.037,161.00004859005477
-0.0,0.0,0.0,0.07,3.037,165.99995636144007
9.255,0.647,132.676,0.07,3.072,172.0001177267039
-0.0,0.0,0.0,0.07,3.072,179.99962458294183
8.784,0.307,125.693,0.07,3.107,182.00004707966426
-0.0,0.0,0.0,0.07,3.107,183.00019615563258
13.902,0.0,132.271,0.105,3.142,198.00010481815406
0.0,0.0,0.0,0.105,3.142,201.9998986559152
-14.312,0.5,136.249,0.105,3.107,212.99995475351633
0.0,0.0,0.0,0.105,3.107,215.99957735143835
-13.347,0.933,127.299,0.105,3.072,227.99983217537684
0.0,0.0,0.0,0.105,3.072,238.99999482426773
14.346,1.508,137.244,0.105,3.037,238.9999480188228
-0.0,0.0,0.0,0.105,3.037,259.9999634711513
13.871,1.949,133.266,0.105,3.002,269.9998353036535
-0.0,0.0,0.0,0.105,3.002,285.99992006117765
13.588,2.396,131.277,0.105,2.967,305.9997996960129
0.0,0.0,0.0,0.105,2.967,446.9999695592831
-13.749,2.673,133.266,0.105,2.95,414.9997385673875
0.0,0.0,0.0,0.105,2.95,482.99984295753137
-14.055,3.245,137.244,0.105,2.915,485.000308838046
0.0,0.0,0.0,0.105,2.915,121.00022772292621
13.429,3.598,132.271,0.105,2.88,122.0004156509313
-0.0,0.0,0.0,0.105,2.88,123.99987820155309
13.395,4.095,133.266,0.105,2.845,477.99989617572095
-0.0,0.0,0.0,0.105,2.845,132.0003489578721
13.54,4.662,136.249,0.105,2.81,132.00035889723938
0.0,0.0,0.0,0.105,2.81,130.9995819268138
-14.144,5.148,143.211,0.105,2.793,131.99949343084617
0.0,0.0,0.0,0.105,2.793,129.9997214881632
-14.15,5.717,145.2,0.105,2.758,124.99954459517042
0.0,0.0,0.0,0.105,2.758,122.99995821950509
14.419,6.42,150.173,0.105,2.723,122.00000569262282
-0.0,0.0,0.0,0.105,2.723,121.00013025612823
14.562,7.102,154.151,0.105,2.688,120.0002294539473
-0.0,0.0,0.0,0.105,2.688,115.00008619561987
-0.0,0.0,0.0,0.105,2.653,120.00030125795519
0.0,0.0,0.0,0.105,2.601,119.00054317943258
-0.0,0.0,0.0,0.105,2.566,115.99992476290664
15.241,10.672,177.025,0.105,2.531,116.99977723483066
-15.327,10.732,178.019,0.105,2.531,116.00001035344782
